old,new,batch,evidence
AllowDisableDolby,settings_allow_disable_dolby,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
AllowDisableDolby_summary,settings_allow_disable_dolby_summary,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
AndroidVersion,page_home_android_version,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
ChargeWattsEnableTitle,system_ui_lock_screen_charge_watts_enable_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
ChargeWattsSummary,system_ui_lock_screen_charge_watts_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
ChargeWattsTitle,system_ui_lock_screen_charge_watts_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
Charge_Animation_Fix,system_ui_animation_charge_animation_fix,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\animation\AnimationWallpaperSettingsScreen.kt
Charge_Animation_Fix_Summary,system_ui_animation_charge_animation_fix_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\animation\AnimationWallpaperSettingsScreen.kt
ControllerDate,system_ui_control_center_controller_date,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
ControllerDateFormat,system_ui_control_center_controller_date_format,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
CustomDateSettingSummary,system_ui_control_center_custom_date_setting_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
CustomDateSettingTitle,system_ui_control_center_custom_date_setting_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
Device_Model_Disguise,game_tool_device_model_disguise,scope,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt
Device_Model_Disguise_summary,game_tool_device_model_disguise_summary,scope,app\src\main\java\com\qimian233\ztool\screens\gametool\GameToolSettingsScreen.kt
